,TOP,MIDDLE,ADC,SUPPORT,JUNGLE,TEAM
0,63.64,33.33,62.5,31.25,41.67,0
1,100.0,83.33,60.0,75.0,100.0,0
2,0.0,0.0,62.22,33.33,0.0,0
3,0.0,0.0,66.67,0.0,60.53,0
4,0.0,71.43,0.0,52.38,0.0,0
5,50.0,63.64,50.0,50.0,63.64,0
6,0.0,34.78,58.82,0.0,33.33,0
7,28.57,42.86,100.0,100.0,60.87,0
8,66.67,0.0,0.0,63.64,0.0,0
9,0.0,0.0,40.0,0.0,0.0,0
10,47.37,60.0,50.0,37.5,0.0,0
11,46.15,50.0,25.0,75.0,60.0,0
12,0.0,0.0,50.0,45.0,28.57,0
13,66.67,71.43,71.43,62.5,75.0,0
14,41.46,50.0,46.15,66.67,50.0,0
15,66.67,25.0,44.44,50.0,50.0,0
16,100.0,46.88,50.0,100.0,57.14,0
17,50.0,0.0,66.67,47.62,0.0,0
18,33.33,0.0,38.89,50.0,0.0,0
19,33.33,27.27,62.5,56.25,66.67,0
20,47.06,40.0,62.5,55.1,44.44,0
21,20.0,50.0,40.0,0.0,38.46,0
22,66.67,68.85,50.0,61.54,25.0,0
23,100.0,75.0,44.44,62.5,50.0,0
24,75.0,66.67,56.25,56.76,45.45,0
25,54.55,100.0,100.0,53.85,59.65,0
26,66.67,50.0,77.78,100.0,25.0,0
27,33.33,0.0,54.55,50.0,66.67,0
28,50.0,41.67,52.38,50.0,35.59,0
29,61.54,42.86,62.22,100.0,61.22,0
30,60.0,70.0,28.57,0.0,56.52,0
31,33.33,0.0,50.0,47.06,50.0,0
32,87.5,66.67,62.22,46.67,80.0,0
33,50.0,50.0,23.08,33.33,0.0,0
34,100.0,100.0,100.0,56.25,60.0,0
35,66.67,50.0,100.0,36.36,100.0,0
36,60.0,57.14,57.14,57.14,73.33,0
37,0.0,0.0,0.0,0.0,48.39,0
38,53.93,50.0,50.0,47.83,53.85,0
39,0.0,57.14,0.0,56.45,0.0,0
40,100.0,59.84,50.0,40.0,53.33,0
41,59.65,20.0,50.0,50.0,55.17,0
42,25.0,50.0,20.0,0.0,0.0,0
43,48.65,64.71,60.0,48.39,48.86,0
44,46.15,58.88,66.67,0.0,70.37,0
45,38.0,42.86,35.29,65.22,58.97,0
46,71.43,50.0,43.64,76.47,50.0,0
47,33.33,50.68,41.67,50.0,100.0,0
48,62.5,70.83,52.38,47.83,100.0,0
49,33.33,58.82,57.14,48.57,75.0,0
50,43.75,0.0,0.0,33.33,71.43,0
51,0.0,42.42,27.27,28.57,50.0,0
52,50.0,66.67,50.0,52.63,54.69,0
53,50.0,57.14,33.33,51.22,50.0,0
54,83.33,55.56,100.0,25.0,59.46,0
